🎯 Sovereign Watcher: Monitoring for Prop Firm One-Shot Entry...
📊 Target Entry: $69,050
🛡️ Stop Loss: $68,650
🚀 Take Profit: $73,750
📦 Position Size: 0.75 BTC
--------------------------------------------------
⌛ 05:38:09 | BTC: $69,672.07 | Distance to Entry: $622.07
⌛ 05:38:39 | BTC: $69,663.21 | Distance to Entry: $613.21
⌛ 05:39:09 | BTC: $69,663.77 | Distance to Entry: $613.77
⌛ 05:39:39 | BTC: $69,666.21 | Distance to Entry: $616.21
⌛ 05:40:10 | BTC: $69,674.12 | Distance to Entry: $624.12
⌛ 05:40:40 | BTC: $69,659.74 | Distance to Entry: $609.74
⌛ 05:41:10 | BTC: $69,659.75 | Distance to Entry: $609.75
⌛ 06:04:45 | BTC: $69,578.70 | Distance to Entry: $528.70
⌛ 06:05:15 | BTC: $69,588.25 | Distance to Entry: $538.25
⌛ 06:05:46 | BTC: $69,585.74 | Distance to Entry: $535.74
⌛ 06:06:16 | BTC: $69,597.53 | Distance to Entry: $547.53
⌛ 06:06:46 | BTC: $69,597.51 | Distance to Entry: $547.51
⌛ 06:07:16 | BTC: $69,597.54 | Distance to Entry: $547.54
⌛ 06:07:46 | BTC: $69,604.34 | Distance to Entry: $554.34
⌛ 06:08:16 | BTC: $69,604.35 | Distance to Entry: $554.35
⌛ 06:08:46 | BTC: $69,616.04 | Distance to Entry: $566.04
⌛ 06:09:16 | BTC: $69,600.32 | Distance to Entry: $550.32
⌛ 06:09:47 | BTC: $69,609.95 | Distance to Entry: $559.95
⌛ 06:10:17 | BTC: $69,618.23 | Distance to Entry: $568.23
⌛ 06:10:47 | BTC: $69,617.80 | Distance to Entry: $567.80
⌛ 06:11:17 | BTC: $69,609.97 | Distance to Entry: $559.97
⌛ 06:11:47 | BTC: $69,622.38 | Distance to Entry: $572.38
⌛ 06:12:17 | BTC: $69,605.49 | Distance to Entry: $555.49
⌛ 06:12:47 | BTC: $69,594.07 | Distance to Entry: $544.07
⌛ 06:13:17 | BTC: $69,595.58 | Distance to Entry: $545.58
⌛ 06:13:48 | BTC: $69,594.06 | Distance to Entry: $544.06
⌛ 06:14:18 | BTC: $69,614.00 | Distance to Entry: $564.00
⌛ 06:14:48 | BTC: $69,602.11 | Distance to Entry: $552.11
⌛ 06:15:18 | BTC: $69,599.12 | Distance to Entry: $549.12
⌛ 06:15:48 | BTC: $69,593.41 | Distance to Entry: $543.41
⌛ 06:16:18 | BTC: $69,601.67 | Distance to Entry: $551.67
⌛ 06:16:48 | BTC: $69,596.38 | Distance to Entry: $546.38
⌛ 06:17:19 | BTC: $69,595.98 | Distance to Entry: $545.98
⌛ 06:17:49 | BTC: $69,614.59 | Distance to Entry: $564.59
⌛ 06:18:19 | BTC: $69,614.11 | Distance to Entry: $564.11
⌛ 06:18:49 | BTC: $69,601.18 | Distance to Entry: $551.18
⌛ 06:19:19 | BTC: $69,593.37 | Distance to Entry: $543.37
⌛ 06:19:49 | BTC: $69,575.83 | Distance to Entry: $525.83
⌛ 06:20:20 | BTC: $69,580.99 | Distance to Entry: $530.99
⌛ 06:20:50 | BTC: $69,580.98 | Distance to Entry: $530.98
⌛ 06:21:20 | BTC: $69,577.51 | Distance to Entry: $527.51
⌛ 06:21:50 | BTC: $69,585.11 | Distance to Entry: $535.11
⌛ 06:22:20 | BTC: $69,564.43 | Distance to Entry: $514.43
⌛ 06:22:50 | BTC: $69,564.42 | Distance to Entry: $514.42
⌛ 06:23:21 | BTC: $69,566.08 | Distance to Entry: $516.08
⌛ 06:23:51 | BTC: $69,572.00 | Distance to Entry: $522.00
⌛ 06:24:21 | BTC: $69,600.93 | Distance to Entry: $550.93
⌛ 06:24:51 | BTC: $69,610.29 | Distance to Entry: $560.29
⌛ 06:25:21 | BTC: $69,598.70 | Distance to Entry: $548.70
⌛ 06:25:51 | BTC: $69,598.70 | Distance to Entry: $548.70
⌛ 06:26:21 | BTC: $69,589.27 | Distance to Entry: $539.27
⌛ 06:26:51 | BTC: $69,589.27 | Distance to Entry: $539.27
⌛ 06:27:22 | BTC: $69,558.72 | Distance to Entry: $508.72
⌛ 06:27:52 | BTC: $69,555.88 | Distance to Entry: $505.88
⌛ 06:28:22 | BTC: $69,572.70 | Distance to Entry: $522.70
⌛ 06:28:52 | BTC: $69,564.00 | Distance to Entry: $514.00
⌛ 06:29:22 | BTC: $69,564.00 | Distance to Entry: $514.00
⌛ 06:29:52 | BTC: $69,576.84 | Distance to Entry: $526.84
⌛ 06:30:22 | BTC: $69,589.26 | Distance to Entry: $539.26
⌛ 06:30:52 | BTC: $69,595.99 | Distance to Entry: $545.99
⌛ 06:31:23 | BTC: $69,607.03 | Distance to Entry: $557.03
⌛ 06:31:53 | BTC: $69,595.99 | Distance to Entry: $545.99
⌛ 06:32:23 | BTC: $69,605.82 | Distance to Entry: $555.82
⌛ 06:32:53 | BTC: $69,605.82 | Distance to Entry: $555.82
⌛ 06:33:23 | BTC: $69,589.27 | Distance to Entry: $539.27
⌛ 06:33:53 | BTC: $69,592.60 | Distance to Entry: $542.60
⌛ 06:34:23 | BTC: $69,592.02 | Distance to Entry: $542.02
⌛ 06:34:53 | BTC: $69,592.02 | Distance to Entry: $542.02
⌛ 06:35:23 | BTC: $69,615.00 | Distance to Entry: $565.00
⌛ 06:35:54 | BTC: $69,625.67 | Distance to Entry: $575.67
⌛ 06:36:24 | BTC: $69,626.00 | Distance to Entry: $576.00
⌛ 06:36:54 | BTC: $69,605.83 | Distance to Entry: $555.83
⌛ 06:37:24 | BTC: $69,602.67 | Distance to Entry: $552.67
⌛ 06:37:54 | BTC: $69,620.40 | Distance to Entry: $570.40
⌛ 06:38:24 | BTC: $69,622.37 | Distance to Entry: $572.37
⌛ 06:38:54 | BTC: $69,622.37 | Distance to Entry: $572.37
⌛ 06:39:24 | BTC: $69,603.08 | Distance to Entry: $553.08
⌛ 06:39:55 | BTC: $69,603.08 | Distance to Entry: $553.08
⌛ 06:40:25 | BTC: $69,597.54 | Distance to Entry: $547.54
⌛ 06:40:55 | BTC: $69,589.28 | Distance to Entry: $539.28
⌛ 06:41:25 | BTC: $69,589.27 | Distance to Entry: $539.27
⌛ 06:41:55 | BTC: $69,589.28 | Distance to Entry: $539.28
⌛ 06:42:25 | BTC: $69,586.40 | Distance to Entry: $536.40
⌛ 06:42:55 | BTC: $69,584.42 | Distance to Entry: $534.42
⌛ 06:43:25 | BTC: $69,576.85 | Distance to Entry: $526.85
⌛ 06:43:55 | BTC: $69,580.61 | Distance to Entry: $530.61
⌛ 06:44:25 | BTC: $69,580.61 | Distance to Entry: $530.61
⌛ 06:44:56 | BTC: $69,566.02 | Distance to Entry: $516.02
⌛ 06:45:26 | BTC: $69,576.84 | Distance to Entry: $526.84
⌛ 06:45:56 | BTC: $69,597.12 | Distance to Entry: $547.12
⌛ 06:46:26 | BTC: $69,597.10 | Distance to Entry: $547.10
⌛ 06:46:56 | BTC: $69,577.22 | Distance to Entry: $527.22
⌛ 06:47:26 | BTC: $69,577.21 | Distance to Entry: $527.21
⌛ 06:47:56 | BTC: $69,577.00 | Distance to Entry: $527.00
⌛ 06:48:27 | BTC: $69,571.62 | Distance to Entry: $521.62
⌛ 06:48:57 | BTC: $69,582.94 | Distance to Entry: $532.94
⌛ 06:49:27 | BTC: $69,577.96 | Distance to Entry: $527.96
⌛ 06:49:57 | BTC: $69,585.04 | Distance to Entry: $535.04
⌛ 06:50:27 | BTC: $69,605.82 | Distance to Entry: $555.82
⌛ 06:50:57 | BTC: $69,605.29 | Distance to Entry: $555.29
⌛ 06:51:27 | BTC: $69,626.52 | Distance to Entry: $576.52
⌛ 06:51:57 | BTC: $69,609.22 | Distance to Entry: $559.22
⌛ 06:52:27 | BTC: $69,609.20 | Distance to Entry: $559.20
⌛ 06:52:58 | BTC: $69,605.29 | Distance to Entry: $555.29
⌛ 06:53:28 | BTC: $69,609.99 | Distance to Entry: $559.99
⌛ 06:53:58 | BTC: $69,593.41 | Distance to Entry: $543.41
⌛ 06:54:28 | BTC: $69,597.55 | Distance to Entry: $547.55
⌛ 06:54:58 | BTC: $69,595.99 | Distance to Entry: $545.99
⌛ 06:55:28 | BTC: $69,596.00 | Distance to Entry: $546.00
⌛ 06:55:58 | BTC: $69,593.96 | Distance to Entry: $543.96
⌛ 06:56:28 | BTC: $69,593.96 | Distance to Entry: $543.96
⌛ 06:56:58 | BTC: $69,598.04 | Distance to Entry: $548.04
⌛ 06:57:29 | BTC: $69,596.46 | Distance to Entry: $546.46
⌛ 06:57:59 | BTC: $69,605.19 | Distance to Entry: $555.19
⌛ 06:58:29 | BTC: $69,604.01 | Distance to Entry: $554.01
⌛ 06:58:59 | BTC: $69,620.06 | Distance to Entry: $570.06
⌛ 06:59:29 | BTC: $69,637.04 | Distance to Entry: $587.04
⌛ 06:59:59 | BTC: $69,630.51 | Distance to Entry: $580.51
⌛ 07:00:29 | BTC: $69,638.94 | Distance to Entry: $588.94
⌛ 07:00:59 | BTC: $69,659.64 | Distance to Entry: $609.64
⌛ 07:01:30 | BTC: $69,662.08 | Distance to Entry: $612.08
⌛ 07:02:00 | BTC: $69,684.27 | Distance to Entry: $634.27
⌛ 07:02:30 | BTC: $69,667.98 | Distance to Entry: $617.98
⌛ 07:03:00 | BTC: $69,664.57 | Distance to Entry: $614.57
⌛ 07:03:30 | BTC: $69,701.05 | Distance to Entry: $651.05
⌛ 07:04:00 | BTC: $69,701.05 | Distance to Entry: $651.05
⌛ 07:04:30 | BTC: $69,706.00 | Distance to Entry: $656.00
⌛ 07:05:00 | BTC: $69,748.44 | Distance to Entry: $698.44
⌛ 07:05:30 | BTC: $69,705.18 | Distance to Entry: $655.18
⌛ 07:06:01 | BTC: $69,694.00 | Distance to Entry: $644.00
⌛ 07:06:31 | BTC: $69,699.01 | Distance to Entry: $649.01
⌛ 07:07:01 | BTC: $69,720.08 | Distance to Entry: $670.08
⌛ 07:07:31 | BTC: $69,722.36 | Distance to Entry: $672.36
⌛ 07:08:01 | BTC: $69,729.99 | Distance to Entry: $679.99
⌛ 07:08:31 | BTC: $69,762.63 | Distance to Entry: $712.63
⌛ 07:09:01 | BTC: $69,768.84 | Distance to Entry: $718.84
⌛ 07:09:31 | BTC: $69,779.99 | Distance to Entry: $729.99
⌛ 07:10:01 | BTC: $69,780.00 | Distance to Entry: $730.00
⌛ 07:10:32 | BTC: $69,806.28 | Distance to Entry: $756.28
⌛ 07:11:02 | BTC: $69,796.32 | Distance to Entry: $746.32
⌛ 07:11:32 | BTC: $69,771.99 | Distance to Entry: $721.99
⌛ 07:12:02 | BTC: $69,830.27 | Distance to Entry: $780.27
⌛ 07:12:32 | BTC: $69,910.00 | Distance to Entry: $860.00
⌛ 07:13:02 | BTC: $69,927.74 | Distance to Entry: $877.74
⌛ 07:13:32 | BTC: $69,939.87 | Distance to Entry: $889.87
⌛ 07:14:02 | BTC: $69,978.43 | Distance to Entry: $928.43
⌛ 07:14:32 | BTC: $70,010.16 | Distance to Entry: $960.16
⌛ 07:15:03 | BTC: $70,052.01 | Distance to Entry: $1,002.01
⌛ 07:15:33 | BTC: $70,002.01 | Distance to Entry: $952.01
⌛ 07:16:03 | BTC: $70,004.13 | Distance to Entry: $954.13
⌛ 07:16:33 | BTC: $70,044.67 | Distance to Entry: $994.67
⌛ 07:17:03 | BTC: $69,970.28 | Distance to Entry: $920.28
⌛ 07:17:33 | BTC: $69,966.00 | Distance to Entry: $916.00
⌛ 07:18:03 | BTC: $69,945.30 | Distance to Entry: $895.30
⌛ 07:18:33 | BTC: $69,983.72 | Distance to Entry: $933.72
⌛ 07:19:04 | BTC: $69,986.34 | Distance to Entry: $936.34
⌛ 07:19:34 | BTC: $70,000.00 | Distance to Entry: $950.00
⌛ 07:20:04 | BTC: $70,015.00 | Distance to Entry: $965.00
⌛ 07:20:34 | BTC: $70,069.50 | Distance to Entry: $1,019.50
⌛ 07:21:04 | BTC: $70,073.64 | Distance to Entry: $1,023.64
⌛ 07:21:34 | BTC: $70,246.01 | Distance to Entry: $1,196.01
⌛ 07:22:04 | BTC: $70,371.71 | Distance to Entry: $1,321.71
⌛ 07:22:34 | BTC: $70,372.01 | Distance to Entry: $1,322.01
⌛ 07:23:04 | BTC: $70,318.43 | Distance to Entry: $1,268.43
⌛ 07:23:35 | BTC: $70,305.48 | Distance to Entry: $1,255.48
⌛ 07:24:05 | BTC: $70,286.31 | Distance to Entry: $1,236.31
⌛ 07:24:35 | BTC: $70,301.35 | Distance to Entry: $1,251.35
⌛ 07:25:05 | BTC: $70,290.60 | Distance to Entry: $1,240.60
⌛ 07:25:35 | BTC: $70,240.13 | Distance to Entry: $1,190.13
⌛ 07:26:05 | BTC: $70,181.41 | Distance to Entry: $1,131.41
⌛ 07:26:35 | BTC: $70,211.31 | Distance to Entry: $1,161.31
⌛ 07:27:05 | BTC: $70,210.26 | Distance to Entry: $1,160.26
⌛ 07:27:36 | BTC: $70,156.34 | Distance to Entry: $1,106.34
⌛ 07:28:06 | BTC: $70,119.40 | Distance to Entry: $1,069.40
⌛ 07:28:36 | BTC: $70,094.34 | Distance to Entry: $1,044.34
⌛ 07:29:06 | BTC: $70,174.56 | Distance to Entry: $1,124.56
⌛ 07:29:36 | BTC: $70,139.89 | Distance to Entry: $1,089.89
⌛ 07:30:06 | BTC: $70,164.00 | Distance to Entry: $1,114.00
⌛ 07:30:36 | BTC: $70,163.00 | Distance to Entry: $1,113.00
⌛ 07:31:06 | BTC: $70,119.18 | Distance to Entry: $1,069.18
⌛ 07:31:37 | BTC: $70,048.58 | Distance to Entry: $998.58
⌛ 07:32:07 | BTC: $70,135.89 | Distance to Entry: $1,085.89
⌛ 07:32:37 | BTC: $70,160.59 | Distance to Entry: $1,110.59
⌛ 07:33:07 | BTC: $70,131.60 | Distance to Entry: $1,081.60
⌛ 07:33:37 | BTC: $70,160.01 | Distance to Entry: $1,110.01
⌛ 07:34:07 | BTC: $70,162.88 | Distance to Entry: $1,112.88
⌛ 07:34:37 | BTC: $70,146.54 | Distance to Entry: $1,096.54
⌛ 07:35:07 | BTC: $70,125.53 | Distance to Entry: $1,075.53
⌛ 07:35:38 | BTC: $70,125.53 | Distance to Entry: $1,075.53
⌛ 07:36:08 | BTC: $70,152.30 | Distance to Entry: $1,102.30
⌛ 07:36:38 | BTC: $70,129.68 | Distance to Entry: $1,079.68
⌛ 07:37:08 | BTC: $70,129.71 | Distance to Entry: $1,079.71
⌛ 07:37:38 | BTC: $70,136.99 | Distance to Entry: $1,086.99
⌛ 07:38:08 | BTC: $70,145.19 | Distance to Entry: $1,095.19
⌛ 07:38:38 | BTC: $70,129.70 | Distance to Entry: $1,079.70
⌛ 07:39:08 | BTC: $70,126.02 | Distance to Entry: $1,076.02
⌛ 07:39:38 | BTC: $70,098.56 | Distance to Entry: $1,048.56
⌛ 07:40:08 | BTC: $70,114.48 | Distance to Entry: $1,064.48
⌛ 07:40:39 | BTC: $70,139.88 | Distance to Entry: $1,089.88
⌛ 07:41:09 | BTC: $70,220.70 | Distance to Entry: $1,170.70
⌛ 07:41:41 | BTC: $70,248.21 | Distance to Entry: $1,198.21
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771069598&end=1771069898). Falling back to yfinance.
⌛ 07:51:39 | BTC: $70,230.67 | Distance to Entry: $1,180.67
⌛ 07:52:09 | BTC: $70,324.01 | Distance to Entry: $1,274.01
⌛ 07:57:22 | BTC: $70,451.01 | Distance to Entry: $1,401.01
⌛ 07:57:52 | BTC: $70,410.02 | Distance to Entry: $1,360.02
⌛ 08:03:16 | BTC: $70,364.93 | Distance to Entry: $1,314.93
⌛ 08:08:25 | BTC: $70,420.00 | Distance to Entry: $1,370.00
⌛ 08:08:56 | BTC: $70,409.98 | Distance to Entry: $1,359.98
⌛ 08:09:26 | BTC: $70,363.70 | Distance to Entry: $1,313.70
⌛ 08:09:56 | BTC: $70,355.15 | Distance to Entry: $1,305.15
⌛ 08:10:26 | BTC: $70,429.68 | Distance to Entry: $1,379.68
⌛ 08:10:56 | BTC: $70,422.67 | Distance to Entry: $1,372.67
⌛ 08:11:26 | BTC: $70,400.00 | Distance to Entry: $1,350.00
⌛ 08:11:56 | BTC: $70,363.07 | Distance to Entry: $1,313.07
⌛ 08:12:26 | BTC: $70,349.35 | Distance to Entry: $1,299.35
⌛ 08:12:56 | BTC: $70,342.04 | Distance to Entry: $1,292.04
⌛ 08:13:27 | BTC: $70,356.54 | Distance to Entry: $1,306.54
⌛ 08:13:57 | BTC: $70,353.91 | Distance to Entry: $1,303.91
⌛ 08:14:27 | BTC: $70,365.03 | Distance to Entry: $1,315.03
⌛ 08:14:57 | BTC: $70,367.33 | Distance to Entry: $1,317.33
⌛ 08:15:27 | BTC: $70,439.99 | Distance to Entry: $1,389.99
⌛ 08:15:57 | BTC: $70,418.93 | Distance to Entry: $1,368.93
⌛ 08:16:27 | BTC: $70,385.60 | Distance to Entry: $1,335.60
⌛ 08:16:57 | BTC: $70,300.00 | Distance to Entry: $1,250.00
⌛ 08:17:27 | BTC: $70,272.37 | Distance to Entry: $1,222.37
⌛ 08:17:57 | BTC: $70,302.02 | Distance to Entry: $1,252.02
⌛ 08:18:28 | BTC: $70,278.01 | Distance to Entry: $1,228.01
⌛ 08:18:58 | BTC: $70,296.67 | Distance to Entry: $1,246.67
⌛ 08:19:28 | BTC: $70,280.01 | Distance to Entry: $1,230.01
⌛ 08:19:58 | BTC: $70,309.95 | Distance to Entry: $1,259.95
⌛ 08:20:28 | BTC: $70,330.33 | Distance to Entry: $1,280.33
⌛ 08:20:58 | BTC: $70,345.02 | Distance to Entry: $1,295.02
⌛ 08:21:28 | BTC: $70,363.43 | Distance to Entry: $1,313.43
⌛ 08:21:58 | BTC: $70,385.60 | Distance to Entry: $1,335.60
⌛ 08:22:28 | BTC: $70,408.01 | Distance to Entry: $1,358.01
⌛ 08:22:59 | BTC: $70,436.01 | Distance to Entry: $1,386.01
⌛ 08:23:29 | BTC: $70,418.02 | Distance to Entry: $1,368.02
⌛ 08:23:59 | BTC: $70,404.52 | Distance to Entry: $1,354.52
⌛ 08:24:29 | BTC: $70,376.94 | Distance to Entry: $1,326.94
⌛ 08:24:59 | BTC: $70,347.89 | Distance to Entry: $1,297.89
⌛ 08:25:29 | BTC: $70,372.33 | Distance to Entry: $1,322.33
⌛ 08:25:59 | BTC: $70,381.83 | Distance to Entry: $1,331.83
⌛ 08:26:29 | BTC: $70,375.01 | Distance to Entry: $1,325.01
⌛ 08:27:02 | BTC: $70,373.97 | Distance to Entry: $1,323.97
⌛ 08:27:32 | BTC: $70,371.72 | Distance to Entry: $1,321.72
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771072264&end=1771072564). Falling back to yfinance.
⌛ 08:36:04 | BTC: $70,269.37 | Distance to Entry: $1,219.37
⌛ 08:49:18 | BTC: $69,807.95 | Distance to Entry: $757.95
⌛ 08:49:49 | BTC: $69,812.81 | Distance to Entry: $762.81
⌛ 08:50:19 | BTC: $69,748.00 | Distance to Entry: $698.00
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771073786&end=1771074086). Falling back to yfinance.
⌛ 09:01:26 | BTC: $69,771.33 | Distance to Entry: $721.33
⌛ 09:01:56 | BTC: $69,662.04 | Distance to Entry: $612.04
⌛ 09:02:26 | BTC: $69,593.42 | Distance to Entry: $543.42
⌛ 09:02:57 | BTC: $69,515.50 | Distance to Entry: $465.50
⌛ 09:03:27 | BTC: $69,402.66 | Distance to Entry: $352.66
⌛ 09:03:57 | BTC: $69,487.79 | Distance to Entry: $437.79
⌛ 09:04:27 | BTC: $69,438.64 | Distance to Entry: $388.64
⌛ 09:04:57 | BTC: $69,427.80 | Distance to Entry: $377.80
⌛ 09:05:27 | BTC: $69,485.76 | Distance to Entry: $435.76
⌛ 09:05:57 | BTC: $69,477.56 | Distance to Entry: $427.56
⌛ 09:06:28 | BTC: $69,510.00 | Distance to Entry: $460.00
⌛ 09:06:58 | BTC: $69,539.46 | Distance to Entry: $489.46
⌛ 09:07:28 | BTC: $69,536.00 | Distance to Entry: $486.00
⌛ 09:07:58 | BTC: $69,581.16 | Distance to Entry: $531.16
⌛ 09:08:28 | BTC: $69,560.41 | Distance to Entry: $510.41
⌛ 09:08:58 | BTC: $69,577.86 | Distance to Entry: $527.86
⌛ 09:09:28 | BTC: $69,582.41 | Distance to Entry: $532.41
⌛ 09:09:58 | BTC: $69,621.88 | Distance to Entry: $571.88
⌛ 09:10:28 | BTC: $69,634.80 | Distance to Entry: $584.80
⌛ 09:10:59 | BTC: $69,608.04 | Distance to Entry: $558.04
⌛ 09:11:29 | BTC: $69,595.73 | Distance to Entry: $545.73
⌛ 09:11:59 | BTC: $69,594.32 | Distance to Entry: $544.32
⌛ 09:12:29 | BTC: $69,615.07 | Distance to Entry: $565.07
⌛ 09:12:59 | BTC: $69,660.79 | Distance to Entry: $610.79
⌛ 09:13:29 | BTC: $69,651.96 | Distance to Entry: $601.96
⌛ 09:13:59 | BTC: $69,676.20 | Distance to Entry: $626.20
⌛ 09:14:29 | BTC: $69,672.06 | Distance to Entry: $622.06
⌛ 09:14:59 | BTC: $69,670.67 | Distance to Entry: $620.67
⌛ 09:15:30 | BTC: $69,726.22 | Distance to Entry: $676.22
⌛ 09:16:00 | BTC: $69,734.16 | Distance to Entry: $684.16
⌛ 09:16:30 | BTC: $69,667.91 | Distance to Entry: $617.91
⌛ 09:17:00 | BTC: $69,676.20 | Distance to Entry: $626.20
⌛ 09:17:30 | BTC: $69,599.45 | Distance to Entry: $549.45
⌛ 09:18:00 | BTC: $69,499.53 | Distance to Entry: $449.53
⌛ 09:18:30 | BTC: $69,500.00 | Distance to Entry: $450.00
⌛ 09:19:00 | BTC: $69,407.97 | Distance to Entry: $357.97
⌛ 09:19:30 | BTC: $69,466.45 | Distance to Entry: $416.45
⌛ 09:20:00 | BTC: $69,454.74 | Distance to Entry: $404.74
⌛ 09:20:30 | BTC: $69,505.99 | Distance to Entry: $455.99
⌛ 09:21:01 | BTC: $69,502.31 | Distance to Entry: $452.31
⌛ 09:21:31 | BTC: $69,413.99 | Distance to Entry: $363.99
⌛ 09:22:01 | BTC: $69,421.34 | Distance to Entry: $371.34
⌛ 09:22:31 | BTC: $69,375.26 | Distance to Entry: $325.26
⌛ 09:23:01 | BTC: $69,354.00 | Distance to Entry: $304.00
⌛ 09:23:31 | BTC: $69,339.51 | Distance to Entry: $289.51
⌛ 09:24:01 | BTC: $69,311.88 | Distance to Entry: $261.88
⌛ 09:24:32 | BTC: $69,330.37 | Distance to Entry: $280.37
⌛ 09:25:02 | BTC: $69,368.50 | Distance to Entry: $318.50
⌛ 09:25:32 | BTC: $69,396.01 | Distance to Entry: $346.01
⌛ 09:26:02 | BTC: $69,369.98 | Distance to Entry: $319.98
⌛ 09:26:32 | BTC: $69,366.91 | Distance to Entry: $316.91
⌛ 09:27:02 | BTC: $69,361.57 | Distance to Entry: $311.57
⌛ 09:27:33 | BTC: $69,394.87 | Distance to Entry: $344.87
⌛ 09:28:03 | BTC: $69,392.69 | Distance to Entry: $342.69
⌛ 09:28:33 | BTC: $69,228.55 | Distance to Entry: $178.55
⌛ 09:29:03 | BTC: $69,254.00 | Distance to Entry: $204.00
⌛ 09:29:33 | BTC: $69,288.80 | Distance to Entry: $238.80
⌛ 09:30:03 | BTC: $69,249.76 | Distance to Entry: $199.76
⌛ 09:30:33 | BTC: $69,300.00 | Distance to Entry: $250.00
